ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P142_1,P142_2,P229G_N,P204_NOM_200D,P204_COD_200D,P229G_NOM,P229G_COD,P229H_CANT_ENT,P229H_CANT_DEC,P229H_UM,P229H_UM_COD,P229H_EQUIV,P229I_1_CANT_ENT,P229I_1_CANT_DEC,P229I_PREC_ENT,P229I_PREC_DEC,P229I_VAL,P229I_1_PRE_KG,P229I_2_ENT,P229I_2_DEC,P229I_3_ENT,P229I_3_DEC,OMICAP200_03
2023,01,AMAZONAS,02,BAGUA,01,BAGUA,00037,02,02,1,3,010272004,39.6933746337891,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,1,000,TONELADA,22,1000,0,000, , , , ,1,000,0,000, 
2023,01,AMAZONAS,02,BAGUA,01,BAGUA,00038,01,01,1,3,010284005,98.1575393676758,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,2,500,TONELADA,22,1000,0,000, , , , ,2,500,0,000, 
2023,01,AMAZONAS,02,BAGUA,01,BAGUA,00038,02,02,1,3,010284005,35.2408866882324,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,2,000,TONELADA,22,1000,0,000, , , , ,2,000,0,000, 
2023,01,AMAZONAS,02,BAGUA,01,BAGUA,00041,01,01,1,3,010282004,3.94952392578125,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,0,500,TONELADA,22,1000,0,000, , , , ,0,500,0,000, 
2023,01,AMAZONAS,02,BAGUA,01,BAGUA,00041,04,04,1,3,010282004,16.0816268920898,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,0,500,TONELADA,22,1000,0,000, , , , ,0,500,0,000, 
2023,01,AMAZONAS,02,BAGUA,01,BAGUA,00052,01,01,1,3,010293004,2.98266816139221,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,200,000,TERCIO,20,15,0,000, , , , ,200,000,0,000, 
2023,01,AMAZONAS,03,BONGARA,12,YAMBRASBAMBA,00080,04,04,1,2,010372004,13.553879737854,1,1,0,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,7500,000,KILOGRAMO,12,1,7500,000,0,40,3000,.4,0,000,0,000, 
2023,01,AMAZONAS,03,BONGARA,12,YAMBRASBAMBA,00080,06,06,1,2,010372004,14.8698902130127,1,1,0,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,1000,000,KILOGRAMO,12,1,1000,000,0,50,500,.5,0,000,0,000, 
2023,01,AMAZONAS,03,BONGARA,12,YAMBRASBAMBA,00081,02,02,1,2,010372005,7.93095827102661,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,15,000,CARGA,09,15,0,000, , , , ,0,000,15,000, 
2023,01,AMAZONAS,03,BONGARA,12,YAMBRASBAMBA,00081,04,04,1,2,010372005,6.16629791259766,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,400,000,KILOGRAMO,12,1,0,000, , , , ,0,000,400,000, 
2023,01,AMAZONAS,07,UTCUBAMBA,02,CAJARURO,00094,01,01,1,3,010773004,105.133491516113,1,1,0,1,CAFE PERGAMINO,1203,PULPA DE CAFÉ,4131,48,000,CARGA,09,50,0,000, , , , ,0,000,48,000, 
2023,01,AMAZONAS,07,UTCUBAMBA,02,CAJARURO,00094,03,03,1,3,010773004,12.2031784057617,1,1,1,1,CAFE PERGAMINO,1203,PULPA DE CAFÉ,4131,5,000,CARGA,09,50,0,000, , , , ,0,000,5,000, 
2023,01,AMAZONAS,07,UTCUBAMBA,01,BAGUA GRANDE,00110,01,01,1,3,010781005,.708936035633087,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,0,750,TONELADA,22,1000,0,000, , , , ,0,750,0,000, 
2023,01,AMAZONAS,07,UTCUBAMBA,01,BAGUA GRANDE,00113,01,01,1,3,010783004,10.47523021698,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,28,000,TONELADA,22,1000,28,000,100,00,2800,.1,0,000,0,000, 
2023,01,AMAZONAS,07,UTCUBAMBA,01,BAGUA GRANDE,00137,07,07,1,3,010772004,8.0409049987793,1,1,1,1,CAFE PERGAMINO,1203,PULPA DE CAFÉ,4131,60,000,KILOGRAMO,12,1,0,000, , , , ,0,000,60,000, 
2023,01,AMAZONAS,07,UTCUBAMBA,05,JAMALCA,00138,03,03,1,3,010772004,.391737759113312,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,12,000,TERCIO,20,5,0,000, , , , ,12,000,0,000, 
2023,01,AMAZONAS,07,UTCUBAMBA,01,BAGUA GRANDE,00143,03,03,1,3,010772004,192.293411254883,1,1,1,1,CAFE PERGAMINO,1203,PULPA DE CAFÉ,4131,30,000,KILOGRAMO,12,1,0,000, , , , ,0,000,30,000, 
2023,01,AMAZONAS,07,UTCUBAMBA,05,JAMALCA,00148,08,08,1,3,010773004,30.8806705474854,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,4,500,TONELADA,22,1000,0,000, , , , ,4,500,0,000, 
2023,01,AMAZONAS,07,UTCUBAMBA,01,BAGUA GRANDE,00154,01,01,1,2,010773004,57.1123580932617,1,1,1,1,CAFE PERGAMINO,1203,PULPA DE CAFÉ,4131,7,000,CARGA,09,30,0,000, , , , ,0,000,7,000, 
2023,01,AMAZONAS,07,UTCUBAMBA,01,BAGUA GRANDE,00156,01,01,1,2,010733004,19.8226566314697,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,0,150,TONELADA,22,1000,0,000, , , , ,0,150,0,000, 
2023,01,AMAZONAS,05,LUYA,18,SAN JERONIMO,00163,01,01,1,2,010572002,.115831300616264,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,0,100,TONELADA,22,1000,0,000, , , , ,0,100,0,000, 
2023,01,AMAZONAS,07,UTCUBAMBA,05,JAMALCA,00164,03,03,1,3,010773004,32.6618385314941,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,7,500,TONELADA,22,1000,0,000, , , , ,7,500,0,000, 
2023,01,AMAZONAS,03,BONGARA,07,JAZAN,00170,01,01,1,2,010334004,12.569317817688,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,1,000,TONELADA,22,1000,0,000, , , , ,1,000,0,000, 
2023,01,AMAZONAS,05,LUYA,01,LAMUD,00214,02,02,1,2,010534006,145.655883789063,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,25,000,CARGA,09,20,0,000, , , , ,25,000,0,000, 
2023,01,AMAZONAS,05,LUYA,01,LAMUD,00214,03,03,1,2,010534006,11.7146816253662,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,2,000,CARGA,09,15,0,000, , , , ,2,000,0,000, 
2023,01,AMAZONAS,05,LUYA,09,LUYA,00220,03,03,1,2,010531003,125.684074401855,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1,000,TONELADA,22,1000,0,000, , , , ,1,000,0,000, 
2023,01,AMAZONAS,05,LUYA,09,LUYA,00220,05,05,1,2,010531003,401.661041259766,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,2,000,TONELADA,22,1000,0,000, , , , ,2,000,0,000, 
2023,01,AMAZONAS,05,LUYA,09,LUYA,00225,01,01,1,2,010531003,22.4185218811035,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1,000,TONELADA,22,1000,0,000, , , , ,1,000,0,000, 
2023,01,AMAZONAS,05,LUYA,09,LUYA,00225,02,02,1,2,010531003,57.9027366638184,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1,000,TONELADA,22,1000,0,000, , , , ,1,000,0,000, 
2023,01,AMAZONAS,05,LUYA,09,LUYA,00225,03,03,1,2,010531003,9.08890533447266,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,2,000,TONELADA,22,1000,2,000,100,00,200,.1,0,000,0,000, 
2023,01,AMAZONAS,01,CHACHAPOYAS,20,SOLOCO,00251,02,02,1,2,010131003,140.146743774414,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,1500,000,KILOGRAMO,12,1,0,000, , , , ,1500,000,0,000, 
2023,01,AMAZONAS,06,RODRIGUEZ DE MENDOZA,12,VISTA ALEGRE,00256,03,03,1,3,010673005,80.4150161743164,1,1,1,1,CAFE PERGAMINO,1203,PULPA DE CAFÉ,4131,1,000,MONTON,42,150,0,000, , , , ,0,000,1,000, 
2023,01,AMAZONAS,06,RODRIGUEZ DE MENDOZA,07,MARISCAL BENAVIDES,00263,06,06,1,2,010632005,23.6931648254395,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,20,000,TERCIO,20,12,0,000, , , , ,20,000,0,000, 
2023,01,AMAZONAS,01,CHACHAPOYAS,19,SAN ISIDRO DE MAINO,00267,01,01,1,2,010171004,2.27878069877625,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1,500,TONELADA,22,1000,0,000, , , , ,1,500,0,000, 
2023,01,AMAZONAS,01,CHACHAPOYAS,12,MAGDALENA,00270,01,01,1,2,010173003,4.25913143157959,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1,000,TONELADA,22,1000,0,000, , , , ,1,000,0,000, 
2023,01,AMAZONAS,06,RODRIGUEZ DE MENDOZA,06,LONGAR,00271,05,05,1,3,010674004,12.7638063430786,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,30,000,KILOGRAMO,12,1,0,000, , , , ,30,000,0,000, 
2023,01,AMAZONAS,06,RODRIGUEZ DE MENDOZA,05,LIMABAMBA,00286,01,01,1,3,010674005,.477655917406082,1,1,1,1,CAFE PERGAMINO,1203,PULPA DE CAFÉ,4131,20,000,KILOGRAMO,12,1,0,000, , , , ,0,000,20,000, 
2023,01,AMAZONAS,06,RODRIGUEZ DE MENDOZA,05,LIMABAMBA,00286,03,03,1,3,010674005,2.16966080665588,1,1,1,1,CAFE PERGAMINO,1203,PULPA DE CAFÉ,4131,2,000,CARGA,09,30,0,000, , , , ,0,000,2,000, 
2023,01,AMAZONAS,06,RODRIGUEZ DE MENDOZA,08,MILPUC,00292,01,01,1,3,010673004,41.0471572875977,1,1,1,1,CAFE PERGAMINO,1203,PULPA DE CAFÉ,4131,80,000,KILOGRAMO,12,1,0,000, , , , ,0,000,80,000, 
2023,01,AMAZONAS,06,RODRIGUEZ DE MENDOZA,02,CHIRIMOTO,00294,02,02,1,3,010674003,20.1814193725586,1,1,1,1,CAFE PERGAMINO,1203,PULPA DE CAFÉ,4131,200,000,KILOGRAMO,12,1,0,000, , , , ,0,000,200,000, 
2023,01,AMAZONAS,06,RODRIGUEZ DE MENDOZA,02,CHIRIMOTO,00294,03,03,1,3,010674003,2.42737698554993,1,1,1,1,CAFE PERGAMINO,1203,PULPA DE CAFÉ,4131,100,000,KILOGRAMO,12,1,0,000, , , , ,0,000,100,000, 
2023,01,AMAZONAS,05,LUYA,21,SANTO TOMAS,00297,01,01,1,2,010531003,101.116882324219,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1000,000,KILOGRAMO,12,1,0,000, , , , ,1000,000,0,000, 
2023,01,AMAZONAS,05,LUYA,21,SANTO TOMAS,00300,02,02,1,2,010533005,4.00768566131592,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1,500,TONELADA,22,1000,0,000, , , , ,1,500,0,000, 
2023,01,AMAZONAS,05,LUYA,21,SANTO TOMAS,00300,05,05,1,2,010533005,8.17735004425049,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,2,500,TONELADA,22,1000,0,000, , , , ,2,500,0,000, 
2023,01,AMAZONAS,06,RODRIGUEZ DE MENDOZA,02,CHIRIMOTO,00301,01,01,1,3,010674002,.0994558855891228,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,50,000,TERCIO,20,20,0,000, , , , ,50,000,0,000, 
2023,01,AMAZONAS,05,LUYA,21,SANTO TOMAS,00302,01,01,1,2,010531003,162.480407714844,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1,500,TONELADA,22,1000,0,000, , , , ,1,500,0,000, 
2023,01,AMAZONAS,05,LUYA,21,SANTO TOMAS,00302,01,01,1,2,010531003,162.480407714844,1,1,1,2,TRIGO,2113,"PAJA (CEBADA, TRIGO, AVENA, ARROZ)",4128,1,000,TONELADA,22,1000,0,000, , , , ,1,000,0,000, 
2023,01,AMAZONAS,01,CHACHAPOYAS,13,MARISCAL CASTILLA,00303,02,02,1,2,010171003,.342112332582474,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,6000,000,KILOGRAMO,12,1,0,000, , , , ,6000,000,0,000, 
